# sample_label ITO_Ag_10s_T
# original_name ito_10nm_ag_10s_t,dat
# wavelength_unit nm
# wavelength_nm auxiliary_value transmittance transmittance_error
300 0 0.0156535 0.00515653
303 0 0.0281223 0.00528122
306 0 0.0515634 0.00551563
309 0 0.0856315 0.00585631
312 0 0.130156 0.00630156
315 0 0.182307 0.00682307
318 0 0.240311 0.00740311
321 0 0.300215 0.00800215
324 0 0.359318 0.00859318
327 0 0.41324 0.0091324
330 0 0.461793 0.00961793
333 0 0.498079 0.00998079
336 0 0.538192 0.0103819
339 0 0.567645 0.0106765
342 0 0.593723 0.0109372
345 0 0.615934 0.0111593
348 0 0.634434 0.0113443
351 0 0.649618 0.0114962
354 0 0.664241 0.0116424
357 0 0.677329 0.0117733
360 0 0.693845 0.0119384
363 0 0.701614 0.0120161
366 0 0.709514 0.0120951
369 0 0.717252 0.0121725
372 0 0.724784 0.0122478
375 0 0.731461 0.0123146
378 0 0.729879 0.0122988
381 0 0.730527 0.0123053
384 0 0.73379 0.0123379
387 0 0.741473 0.0124147
390 0 0.746912 0.0124691
393 0 0.746735 0.0124673
396 0 0.749429 0.0124943
399 0 0.750889 0.0125089
402 0 0.75139 0.0125139
405 0 0.749177 0.0124918
408 0 0.74971 0.0124971
411 0 0.744666 0.0124467
414 0 0.741687 0.0124169
417 0 0.738516 0.0123852
420 0 0.734544 0.0123454
423 0 0.728323 0.0122832
426 0 0.722063 0.0122206
429 0 0.716148 0.0121615
432 0 0.709715 0.0120972
435 0 0.703726 0.0120373
438 0 0.694876 0.0119488
441 0 0.691031 0.0119103
444 0 0.685586 0.0118559
447 0 0.680542 0.0118054
450 0 0.673591 0.0117359
453 0 0.668724 0.0116872
456 0 0.66374 0.0116374
459 0 0.657912 0.0115791
462 0 0.652513 0.0115251
465 0 0.649233 0.0114923
468 0 0.644476 0.0114448
471 0 0.641696 0.011417
474 0 0.636711 0.0113671
477 0 0.63469 0.0113469
480 0 0.62926 0.0112926
483 0 0.630319 0.0113032
486 0 0.625301 0.011253
489 0 0.623541 0.0112354
492 0 0.618467 0.0111847
495 0 0.616923 0.0111692
498 0 0.615705 0.0111571
501 0 0.612006 0.0111201
504 0 0.609111 0.0110911
507 0 0.607192 0.0110719
510 0 0.607154 0.0110715
513 0 0.603733 0.0110373
516 0 0.602303 0.011023
519 0 0.603209 0.0110321
522 0 0.602372 0.0110237
525 0 0.600424 0.0110042
528 0 0.600326 0.0110033
531 0 0.598427 0.0109843
534 0 0.598567 0.0109857
537 0 0.597676 0.0109768
540 0 0.597975 0.0109797
543 0 0.600077 0.0110008
546 0 0.605833 0.0110583
549 0 0.605355 0.0110536
552 0 0.608158 0.0110816
555 0 0.609178 0.0110918
558 0 0.61228 0.0111228
561 0 0.610955 0.0111095
564 0 0.612707 0.0111271
567 0 0.612999 0.01113
570 0 0.612396 0.011124
573 0 0.614689 0.0111469
576 0 0.613333 0.0111333
579 0 0.613991 0.0111399
582 0 0.618824 0.0111882
585 0 0.6185 0.011185
588 0 0.616512 0.0111651
591 0 0.615175 0.0111518
594 0 0.621553 0.0112155
597 0 0.622727 0.0112273
600 0 0.621681 0.0112168
603 0 0.622311 0.0112231
606 0 0.622628 0.0112263
609 0 0.621113 0.0112111
612 0 0.621381 0.0112138
615 0 0.617964 0.0111796
618 0 0.622826 0.0112283
621 0 0.624749 0.0112475
624 0 0.625518 0.0112552
627 0 0.628685 0.0112869
630 0 0.624301 0.011243
633 0 0.624504 0.011245
636 0 0.63012 0.0113012
639 0 0.625235 0.0112524
642 0 0.628128 0.0112813
645 0 0.63292 0.0113292
648 0 0.632015 0.0113202
651 0 0.631765 0.0113177
654 0 0.630026 0.0113003
657 0 0.634377 0.0113438
660 0 0.636111 0.0113611
663 0 0.634331 0.0113433
666 0 0.638584 0.0113858
669 0 0.637936 0.0113794
672 0 0.637546 0.0113755
675 0 0.642535 0.0114254
678 0 0.642671 0.0114267
681 0 0.640655 0.0114065
684 0 0.63946 0.0113946
687 0 0.640515 0.0114051
690 0 0.639741 0.0113974
693 0 0.638127 0.0113813
696 0 0.639671 0.0113967
699 0 0.641684 0.0114168
702 0 0.642182 0.0114218
705 0 0.641277 0.0114128
708 0 0.639723 0.0113972
711 0 0.640053 0.0114005
714 0 0.642514 0.0114251
717 0 0.639008 0.0113901
720 0 0.634694 0.0113469
723 0 0.638639 0.0113864
726 0 0.640935 0.0114093
729 0 0.643174 0.0114317
732 0 0.642178 0.0114218
735 0 0.636437 0.0113644
738 0 0.6378 0.011378
741 0 0.636382 0.0113638
744 0 0.6386 0.011386
747 0 0.644495 0.011445
750 0 0.6396 0.011396
753 0 0.645002 0.01145
756 0 0.643326 0.0114333
759 0 0.63964 0.0113964
762 0 0.641246 0.0114125
765 0 0.643823 0.0114382
768 0 0.642073 0.0114207
771 0 0.640995 0.01141
774 0 0.640561 0.0114056
777 0 0.635308 0.0113531
780 0 0.637755 0.0113776
783 0 0.640731 0.0114073
786 0 0.643312 0.0114331
789 0 0.642036 0.0114204
792 0 0.636378 0.0113638
795 0 0.628452 0.0112845
798 0 0.631162 0.0113116
