# sample_label ITO_Ag_20s_T
# original_name ito_10nm_ag_20s_t.dat
# wavelength_unit nm
# wavelength_nm auxiliary_value transmittance transmittance_error
300 0 0.0142932 0.00514293
303 0 0.0284931 0.00528493
306 0 0.0524384 0.00552438
309 0 0.086937 0.00586937
312 0 0.131747 0.00631747
315 0 0.183767 0.00683767
318 0 0.242332 0.00742332
321 0 0.301174 0.00801174
324 0 0.359506 0.00859506
327 0 0.414587 0.00914587
330 0 0.461304 0.00961304
333 0 0.502846 0.0100285
336 0 0.53713 0.0103713
339 0 0.565141 0.0106514
342 0 0.583671 0.0108367
345 0 0.603607 0.0110361
348 0 0.623815 0.0112382
351 0 0.637976 0.0113798
354 0 0.649021 0.0114902
357 0 0.658499 0.011585
360 0 0.673665 0.0117366
363 0 0.691176 0.0119118
366 0 0.695835 0.0119584
369 0 0.703405 0.012034
372 0 0.711124 0.0121112
375 0 0.714332 0.0121433
378 0 0.715464 0.0121546
381 0 0.720801 0.012208
384 0 0.72885 0.0122885
387 0 0.732893 0.0123289
390 0 0.739517 0.0123952
393 0 0.746295 0.0124629
396 0 0.750865 0.0125087
399 0 0.755825 0.0125582
402 0 0.75741 0.0125741
405 0 0.75284 0.0125284
408 0 0.750769 0.0125077
411 0 0.748848 0.0124885
414 0 0.749083 0.0124908
417 0 0.741848 0.0124185
420 0 0.734118 0.0123412
423 0 0.732554 0.0123255
426 0 0.723916 0.0122392
429 0 0.720818 0.0122082
432 0 0.7121 0.012121
435 0 0.70567 0.0120567
438 0 0.70642 0.0120642
441 0 0.700059 0.0120006
444 0 0.692994 0.0119299
447 0 0.683097 0.011831
450 0 0.675344 0.0117534
453 0 0.672511 0.0117251
456 0 0.667336 0.0116734
459 0 0.662286 0.0116229
462 0 0.654046 0.0115405
465 0 0.649205 0.011492
468 0 0.640906 0.0114091
471 0 0.641526 0.0114153
474 0 0.634752 0.0113475
477 0 0.631183 0.0113118
480 0 0.618855 0.0111885
483 0 0.620773 0.0112077
486 0 0.605606 0.0110561
489 0 0.60118 0.0110118
492 0 0.598148 0.0109815
495 0 0.596175 0.0109618
498 0 0.595368 0.0109537
501 0 0.588402 0.010884
504 0 0.586627 0.0108663
507 0 0.588216 0.0108822
510 0 0.589577 0.0108958
513 0 0.584446 0.0108445
516 0 0.589746 0.0108975
519 0 0.587075 0.0108707
522 0 0.58449 0.0108449
525 0 0.58759 0.0108759
528 0 0.586263 0.0108626
531 0 0.590658 0.0109066
534 0 0.591501 0.010915
537 0 0.587073 0.0108707
540 0 0.591062 0.0109106
543 0 0.594803 0.010948
546 0 0.559939 0.0105994
549 0 0.565755 0.0106576
552 0 0.561718 0.0106172
555 0 0.566292 0.0106629
558 0 0.566482 0.0106648
561 0 0.573179 0.0107318
564 0 0.577148 0.0107715
567 0 0.57643 0.0107643
570 0 0.575939 0.0107594
573 0 0.580366 0.0108037
576 0 0.582905 0.0108291
579 0 0.58746 0.0108746
582 0 0.593615 0.0109362
585 0 0.588696 0.010887
588 0 0.596667 0.0109667
591 0 0.598759 0.0109876
594 0 0.598117 0.0109812
597 0 0.604401 0.011044
600 0 0.596957 0.0109696
603 0 0.594589 0.0109459
606 0 0.607748 0.0110775
609 0 0.61571 0.0111571
612 0 0.62283 0.0112283
615 0 0.617283 0.0111728
618 0 0.616465 0.0111647
621 0 0.626294 0.0112629
624 0 0.625916 0.0112592
627 0 0.63097 0.0113097
630 0 0.637933 0.0113793
633 0 0.635346 0.0113535
636 0 0.642373 0.0114237
639 0 0.643151 0.0114315
642 0 0.641155 0.0114115
645 0 0.635774 0.0113577
648 0 0.647085 0.0114708
651 0 0.644913 0.0114491
654 0 0.652985 0.0115298
657 0 0.659225 0.0115922
660 0 0.653705 0.011537
663 0 0.659685 0.0115968
666 0 0.668376 0.0116838
669 0 0.670372 0.0117037
672 0 0.662574 0.0116257
675 0 0.664301 0.011643
678 0 0.662913 0.0116291
681 0 0.660923 0.0116092
684 0 0.662549 0.0116255
687 0 0.665686 0.0116569
690 0 0.664891 0.0116489
693 0 0.671812 0.0117181
696 0 0.679006 0.0117901
699 0 0.676842 0.0117684
702 0 0.683833 0.0118383
705 0 0.677179 0.0117718
708 0 0.688179 0.0118818
711 0 0.688788 0.0118879
714 0 0.703564 0.0120356
717 0 0.707476 0.0120748
720 0 0.692991 0.0119299
723 0 0.676094 0.0117609
726 0 0.692818 0.0119282
729 0 0.707315 0.0120731
732 0 0.717556 0.0121756
735 0 0.720571 0.0122057
738 0 0.72216 0.0122216
741 0 0.720853 0.0122085
744 0 0.719769 0.0121977
747 0 0.715403 0.012154
750 0 0.717355 0.0121735
753 0 0.715302 0.012153
756 0 0.705715 0.0120572
759 0 0.707791 0.0120779
762 0 0.715838 0.0121584
765 0 0.715354 0.0121535
768 0 0.725812 0.0122581
771 0 0.721364 0.0122136
774 0 0.718725 0.0121873
777 0 0.71882 0.0121882
780 0 0.711991 0.0121199
783 0 0.71684 0.0121684
786 0 0.717857 0.0121786
789 0 0.718184 0.0121818
792 0 0.734559 0.0123456
795 0 0.74648 0.0124648
798 0 0.73471 0.0123471
