wavelength_nm,auxiliary_value,transmittance,transmittance_error
300.0,0.0,0.0152119,0.00515212
303.0,0.0,0.0299909,0.00529991
306.0,0.0,0.0545349,0.00554535
309.0,0.0,0.0900194,0.00590019
312.0,0.0,0.135982,0.00635982
315.0,0.0,0.18978,0.0068978
318.0,0.0,0.248607,0.00748607
321.0,0.0,0.310307,0.00810307
324.0,0.0,0.370839,0.00870839
327.0,0.0,0.427561,0.00927561
330.0,0.0,0.477541,0.00977541
333.0,0.0,0.522812,0.0102281
336.0,0.0,0.559206,0.0105921
339.0,0.0,0.590962,0.0109096
342.0,0.0,0.613868,0.0111387
345.0,0.0,0.636529,0.0113653
348.0,0.0,0.65713,0.0115713
351.0,0.0,0.673124,0.0117312
354.0,0.0,0.683448,0.0118345
357.0,0.0,0.697106,0.0119711
360.0,0.0,0.723679,0.0122368
363.0,0.0,0.731993,0.0123199
366.0,0.0,0.739026,0.0123903
369.0,0.0,0.743013,0.0124301
372.0,0.0,0.751235,0.0125124
375.0,0.0,0.754883,0.0125488
378.0,0.0,0.755573,0.0125557
381.0,0.0,0.758344,0.0125834
384.0,0.0,0.763891,0.0126389
387.0,0.0,0.771963,0.0127196
390.0,0.0,0.777916,0.0127792
393.0,0.0,0.784946,0.0128495
396.0,0.0,0.791744,0.0129174
399.0,0.0,0.796017,0.0129602
402.0,0.0,0.795776,0.0129578
405.0,0.0,0.795917,0.0129592
408.0,0.0,0.796307,0.0129631
411.0,0.0,0.795323,0.0129532
414.0,0.0,0.79458,0.0129458
417.0,0.0,0.796759,0.0129676
420.0,0.0,0.788763,0.0128876
423.0,0.0,0.787378,0.0128738
426.0,0.0,0.782506,0.0128251
429.0,0.0,0.780803,0.012808
432.0,0.0,0.777291,0.0127729
435.0,0.0,0.76833,0.0126833
438.0,0.0,0.762744,0.0126274
441.0,0.0,0.75843,0.0125843
444.0,0.0,0.75478,0.0125478
447.0,0.0,0.745268,0.0124527
450.0,0.0,0.739807,0.0123981
453.0,0.0,0.734247,0.0123425
456.0,0.0,0.730444,0.0123044
459.0,0.0,0.726395,0.0122639
462.0,0.0,0.722414,0.0122241
465.0,0.0,0.719701,0.012197
468.0,0.0,0.717132,0.0121713
471.0,0.0,0.710902,0.012109
474.0,0.0,0.705607,0.0120561
477.0,0.0,0.704426,0.0120443
480.0,0.0,0.706353,0.0120635
483.0,0.0,0.703115,0.0120312
486.0,0.0,0.689307,0.0118931
489.0,0.0,0.688719,0.0118872
492.0,0.0,0.688314,0.0118831
495.0,0.0,0.689842,0.0118984
498.0,0.0,0.7013,0.012013
501.0,0.0,0.70058,0.0120058
504.0,0.0,0.70217,0.0120217
507.0,0.0,0.711412,0.0121141
510.0,0.0,0.719268,0.0121927
513.0,0.0,0.721894,0.0122189
516.0,0.0,0.726953,0.0122695
519.0,0.0,0.73233,0.0123233
522.0,0.0,0.736989,0.0123699
525.0,0.0,0.746959,0.0124696
528.0,0.0,0.749184,0.0124918
531.0,0.0,0.754754,0.0125475
534.0,0.0,0.761542,0.0126154
537.0,0.0,0.767358,0.0126736
540.0,0.0,0.775299,0.012753
543.0,0.0,0.784206,0.0128421
546.0,0.0,0.758376,0.0125838
549.0,0.0,0.767079,0.0126708
552.0,0.0,0.767485,0.0126749
555.0,0.0,0.768295,0.0126829
558.0,0.0,0.772235,0.0127224
561.0,0.0,0.781415,0.0128142
564.0,0.0,0.785084,0.0128508
567.0,0.0,0.795243,0.0129524
570.0,0.0,0.79605,0.0129605
573.0,0.0,0.793841,0.0129384
576.0,0.0,0.799588,0.0129959
579.0,0.0,0.806521,0.0130652
582.0,0.0,0.811642,0.0131164
585.0,0.0,0.807788,0.0130779
588.0,0.0,0.808796,0.013088
591.0,0.0,0.812351,0.0131235
594.0,0.0,0.812635,0.0131264
597.0,0.0,0.815702,0.013157
600.0,0.0,0.822777,0.0132278
603.0,0.0,0.819575,0.0131957
606.0,0.0,0.822857,0.0132286
609.0,0.0,0.831335,0.0133133
612.0,0.0,0.833979,0.0133398
615.0,0.0,0.832409,0.0133241
618.0,0.0,0.82916,0.0132916
621.0,0.0,0.83267,0.0133267
624.0,0.0,0.835136,0.0133514
627.0,0.0,0.834969,0.0133497
630.0,0.0,0.835488,0.0133549
633.0,0.0,0.841369,0.0134137
636.0,0.0,0.843321,0.0134332
639.0,0.0,0.844885,0.0134489
642.0,0.0,0.844651,0.0134465
645.0,0.0,0.840028,0.0134003
648.0,0.0,0.847253,0.0134725
651.0,0.0,0.844154,0.0134415
654.0,0.0,0.846438,0.0134644
657.0,0.0,0.852315,0.0135231
660.0,0.0,0.858005,0.01358
663.0,0.0,0.863118,0.0136312
666.0,0.0,0.866051,0.0136605
669.0,0.0,0.857335,0.0135734
