WSxM file copyright UAM
WSxM ASCII XYZ file
X[µm]		Y[µm]		Z[nm]

0		0	9,27136
0,00784314	0	8,68367
0,0156863	0	9,70092
0,0235294	0	9,9891
0,0313725	0	9,24966
0,0392157	0	8,2324
0,0470588	0	7,50973
0,054902	0	8,52698
0,0627451	0	7,78242
0,0705882	0	6,76516
0,0784314	0	7,02773
0,0862745	0	8,63271
0,0941176	0	9,65062
0,101961	0	10,6679
0,109804	0	9,65062
0,117647	0	8,4659
0,12549		0	8,87532
0,133333	0	8,57188
0,141176	0	7,55462
0,14902		0	6,22357
0,156863	0	6,3415
0,164706	0	7,65319
0,172549	0	8,67044
0,180392	0	9,83698
0,188235	0	12,1267
0,196078	0	15,1785
0,203922	0	17,2303
0,211765	0	18,2475
0,219608	0	18,244
0,227451	0	17,2268
0,235294	0	15,607
0,243137	0	12,9605
0,25098		0	9,9087
0,258824	0	8,44234
0,266667	0	7,35682
0,27451		0	7,9409
0,282353	0	7,79056
0,290196	0	6,77331
0,298039	0	8,0883
0,305882	0	9,10556
0,313725	0	9,09755
0,321569	0	8,0803
0,329412	0	8,05332
0,337255	0	8,6319
0,345098	0	7,88967
0,352941	0	6,87242
0,360784	0	5,52435
0,368627	0	5,6634
0,376471	0	5,06803
0,384314	0	4,91327
0,392157	0	7,55228
0,4		0	10,3341
0,407843	0	13,1161
0,415686	0	15,6048
0,423529	0	16,6221
0,431373	0	17,2022
0,439216	0	17,0479
0,447059	0	16,0306
0,454902	0	14,2616
0,462745	0	11,2098
0,470588	0	8,35655
0,478431	0	8,6431
0,486275	0	8,63654
0,494118	0	8,18874
0,501961	0	7,30123
0,509804	0	6,28398
0,517647	0	5,67213
0,52549		0	7,13857
0,533333	0	8,15582
0,541176	0	10,5025
0,54902		0	11,5197
0,556863	0	12,1009
0,564706	0	11,0836
0,572549	0	10,0493
0,580392	0	6,99755
0,588235	0	5,21095
0,596078	0	7,37597
0,603922	0	8,83865
0,611765	0	9,8559
0,619608	0	10,1436
0,627451	0	9,12638
0,635294	0	7,50543
0,643137	0	8,64868
0,65098		0	9,66593
0,658824	0	8,79148
0,666667	0	8,06289
0,67451		0	7,04564
0,682353	0	4,70152
0,690196	0	5,2541
0,698039	0	6,71682
0,705882	0	7,73407
0,713725	0	8,46893
0,721569	0	11,1076
0,729412	0	12,424
0,737255	0	13,4412
0,745098	0	13,7293
0,752941	0	12,712
0,760784	0	11,3868
0,768627	0	8,33504
0,776471	0	11,8355
0,784314	0	14,8873
0,792157	0	16,4981
0,8		0	17,6685
0,807843	0	18,6858
0,815686	0	18,2414
0,823529	0	17,2242
0,831373	0	15,1643
0,839216	0	12,2242
0,847059	0	9,17241
0,854902	0	7,13376
0,862745	0	7,94635
0,870588	0	8,9636
0,878431	0	9,25348
0,886275	0	8,23623
0,894118	0	7,20532
0,901961	0	6,59996
0,909804	0	5,58271
0,917647	0	4,53783
0,92549		0	4,9747
0,933333	0	5,44855
0,941176	0	8,50031
0,94902		0	11,1401
0,956863	0	12,1652
0,964706	0	13,1825
0,972549	0	13,0326
0,980392	0	12,4422
0,988235	0	11,425
0,996078	0	9,95438
1,00392		0	7,74338
1,01176		0	8,76063
1,01961		0	9,34563
1,02745		0	8,75567
1,03529		0	7,73842
1,04314		0	6,44391
1,05098		0	5,11713
1,05882		0	5,70736
1,06667		0	5,70976
1,07451		0	4,69251
1,08235		0	4,86402
1,0902		0	4,43061
1,09804		0	4,33156
1,10588		0	4,47674
1,11373		0	4,48376
1,12157		0	6,97842
1,12941		0	8,44547
1,13725		0	9,46272
1,1451		0	10,3427
1,15294		0	11,9652
1,16078		0	14,6068
1,16863		0	16,0741
1,17647		0	17,0914
1,18431		0	17,5304
1,19216		0	17,0892
1,2		0	16,0719
1,20784		0	14,4557
1,21569		0	11,6653
1,22353		0	12,0937
1,23137	0	11,3589
1,23922	0	10,3416
1,24706	0	8,86094
1,2549	0	9,33438
1,26275	0	10,5134
1,27059	0	11,5307
1,27843	0	11,976
1,28627	0	10,9678
1,29412	0	12,1463
1,30196	0	13,1636
1,3098	0	12,7274
1,31765	0	11,7101
1,32549	0	8,90513
1,33333	0	6,41631
1,34118	0	6,81422
1,34902	0	7,83147
1,35686	0	7,24425
1,36471	0	6,227
1,37255	0	5,92341
1,38039	0	5,18979
1,38824	0	4,2623
1,39608	0	3,86934
1,40392	0	4,61567
1,41176	0	6,23166
1,41961	0	7,24891
1,42745	0	7,8373
1,43529	0	8,1129
1,44314	0	8,85274
1,45098	0	7,97783
1,45882	0	6,96058
1,46667	0	7,12061
1,47451	0	8,13786
1,48235	0	8,72595
1,4902	0	8,58113
1,49804	0	7,56388
1,50588	0	6,82197
1,51373	0	7,73245
1,52157	0	7,59258
1,52941	0	6,57533
1,53725	0	6,74171
1,5451	0	8,01794
1,55294	0	9,34116
1,56078	0	10,3584
1,56863	0	9,34116
1,57647	0	8,31516
1,58431	0	6,26598
1,59216	0	8,03082
1,6	0	9,04807
1,60784	0	9,34401
1,61569	0	9,93396
1,62353	0	10,3766
1,63137	0	10,0856
1,63922	0	9,06838
1,64706	0	7,05522
1,6549	0	11,0226
1,66275	0	14,0743
1,67059	0	16,133
1,67843	0	17,1503
1,68627	0	17,1529
1,69412	0	16,1357
1,70196	0	14,6709
1,7098	0	12,1786
1,71765	0	9,12683
1,72549	0	7,04471
1,73333	0	6,02745
1,74118	0	4,71422
1,74902	0	4,57341
1,75686	0	4,89346
1,76471	0	5,91071
1,77255	0	7,36781
1,78039	0	8,38507
1,78824	0	8,97645
1,79608	0	8,09893
1,80392	0	10,7964
1,81176	0	13,8482
1,81961	0	15,9081
1,82745	0	16,9254
1,83529	0	17,3698
1,84314	0	16,4934
1,85098	0	15,4762
1,85882	0	13,1309
1,86667	0	10,0791
1,87451	0	7,27628
1,88235	0	8,29353
1,8902	0	8,29863
1,89804	0	8,45039
1,90588	0	7,43313
1,91373	0	6,40993
1,92157	0	8,04006
1,92941	0	10,3948
1,93725	0	11,4121
1,9451	0	11,1237
1,95294	0	10,1064
1,96078	0	7,90862
1,96863	0	6,30955
1,97647	0	8,37078
1,98431	0	9,38803
1,99216	0	10,1285
2	0	9,83977
0	0,00784314	10,2886
0,00784314	0,00784314	10,0094
0,0156863	0,00784314	11,0266
0,0235294	0,00784314	11,9117
0,0313725	0,00784314	10,8945
0,0392157	0,00784314	9,72349
0,0470588	0,00784314	7,04207
0,054902	0,00784314	7,50973
0,0627451	0,00784314	6,76516
0,0705882	0,00784314	5,74791
0,0784314	0,00784314	6,01048
0,0862745	0,00784314	8,03493
0,0941176	0,00784314	9,05218
0,101961	0,00784314	9,78151
0,109804	0,00784314	8,76425
0,117647	0,00784314	7,73148
0,12549	0,00784314	7,85841
0,133333	0,00784314	7,7069
0,141176	0,00784314	6,68965
0,14902	0,00784314	5,51053
0,156863	0,00784314	5,32425
0,164706	0,00784314	6,63594
0,172549	0,00784314	8,13269
0,180392	0,00784314	10,7714
0,188235	0,00784314	13,6587
0,196078	0,00784314	16,7104
0,203922	0,00784314	18,2475
0,211765	0,00784314	19,2648
0,219608	0,00784314	19,4982
0,227451	0,00784314	18,6218
0,235294	0,00784314	17,6045
0,243137	0,00784314	14,9652
0,25098	0,00784314	11,9134
0,258824	0,00784314	9,10959
0,266667	0,00784314	10,1268
0,27451	0,00784314	10,7187
0,282353	0,00784314	9,70148
0,290196	0,00784314	7,9441
0,298039	0,00784314	7,07105
0,305882	0,00784314	8,0883
0,313725	0,00784314	8,0803
0,321569	0,00784314	7,06305
0,329412	0,00784314	7,03607
0,337255	0,00784314	7,61464
0,345098	0,00784314	6,87242
0,352941	0,00784314	5,85517
0,360784	0,00784314	4,51949
0,368627	0,00784314	4,64614
0,376471	0,00784314	4,36682
0,384314	0,00784314	5,25324
0,392157	0,00784314	8,2176
0,4	0,00784314	11,2694
0,407843	0,00784314	14,0557
0,415686	0,00784314	15,9626
0,423529	0,00784314	16,9798
0,431373	0,00784314	17,8591
0,439216	0,00784314	17,8566
0,447059	0,00784314	16,8393
0,454902	0,00784314	15,0755
0,462745	0,00784314	12,1374
0,470588	0,00784314	9,08567
0,478431	0,00784314	7,62585
0,486275	0,00784314	7,61928
0,494118	0,00784314	7,17149
0,501961	0,00784314	6,28398
0,509804	0,00784314	5,26672
0,517647	0,00784314	6,68939
0,52549	0,00784314	8,15582
0,533333	0,00784314	9,17307
0,541176	0,00784314	10,2093
0,54902	0,00784314	11,2266
0,556863	0,00784314	11,3723
0,564706	0,00784314	10,3551
0,572549	0,00784314	9,03205
0,580392	0,00784314	6,94341
0,588235	0,00784314	7,38886
0,596078	0,00784314	6,37161
0,603922	0,00784314	7,8214
0,611765	0,00784314	8,83865
0,619608	0,00784314	9,12638
0,627451	0,00784314	8,10913
0,635294	0,00784314	10,8153
0,643137	0,00784314	11,8325
0,65098	0,00784314	12,7235
0,658824	0,00784314	13,3205
0,666667	0,00784314	12,3032
0,67451	0,00784314	10,5501
0,682353	0,00784314	7,75327
0,690196	0,00784314	6,74198
0,698039	0,00784314	7,75923
0,705882	0,00784314	7,17735
0,713725	0,00784314	8,43462
0,721569	0,00784314	10,0904
0,729412	0,00784314	11,4067
0,737255	0,00784314	12,424
0,745098	0,00784314	12,712
0,752941	0,00784314	11,6948
0,760784	0,00784314	10,3695
0,768627	0,00784314	7,40863
0,776471	0,00784314	10,8183
0,784314	0,00784314	13,8701
0,792157	0,00784314	15,6332
0,8	0,00784314	16,6513
0,807843	0,00784314	17,6685
0,815686	0,00784314	17,2242
0,823529	0,00784314	16,2069
0,831373	0,00784314	14,147
0,839216	0,00784314	11,2069
0,847059	0,00784314	10,5137
0,854902	0,00784314	9,49647
0,862745	0,00784314	8,30153
0,870588	0,00784314	9,31878
0,878431	0,00784314	9,76025
0,886275	0,00784314	8,88092
0,894118	0,00784314	7,86366
0,901961	0,00784314	5,58271
0,909804	0,00784314	4,56546
0,917647	0,00784314	3,9088
0,92549	0,00784314	4,79773
0,933333	0,00784314	5,14901
0,941176	0,00784314	7,48306
0,94902	0,00784314	10,1229
0,956863	0,00784314	11,2584
0,964706	0,00784314	12,2757
0,972549	0,00784314	12,4239
0,980392	0,00784314	11,425
0,988235	0,00784314	10,4077
0,996078	0,00784314	8,93713
1,00392	0,00784314	6,72613
1,01176	0,00784314	8,04328
1,01961	0,00784314	9,06054
1,02745	0,00784314	9,50393
1,03529	0,00784314	8,48667
1,04314	0,00784314	7,46116
1,05098	0,00784314	6,86134
1,05882	0,00784314	7,01497
1,06667	0,00784314	6,72702
1,07451	0,00784314	6,89853
1,08235	0,00784314	7,91578
1,0902	0,00784314	7,48237
1,09804	0,00784314	6,46512
1,10588	0,00784314	4,68612
1,11373	0,00784314	4,39571
1,12157	0,00784314	5,96117
1,12941	0,00784314	7,82771
1,13725	0,00784314	8,84496
1,1451	0,00784314	9,43938
1,15294	0,00784314	11,3283
1,16078	0,00784314	14,1206
1,16863	0,00784314	15,4462
1,17647	0,00784314	16,4635
1,18431	0,00784314	16,7608
1,19216	0,00784314	16,471
1,2	0,00784314	15,4537
1,20784	0,00784314	13,989
1,21569	0,00784314	10,9372
1,22353	0,00784314	11,0765
1,23137	0,00784314	10,3416
1,23922	0,00784314	9,32438
1,24706	0,00784314	7,84368
1,2549	0,00784314	10,3516
1,26275	0,00784314	11,5307
1,27059	0,00784314	12,5479
1,27843	0,00784314	12,9933
1,28627	0,00784314	11,9954
1,29412	0,00784314	13,1636
1,30196	0,00784314	14,1808
1,3098	0,00784314	14,288
1,31765	0,00784314	13,2707
1,32549	0,00784314	11,9569
1,33333	0,00784314	9,46807
1,34118	0,00784314	7,1732
1,34902	0,00784314	8,19046
1,35686	0,00784314	7,608
1,36471	0,00784314	6,59075
1,37255	0,00784314	4,96916
1,38039	0,00784314	5,98641
1,38824	0,00784314	6,28759
1,39608	0,00784314	5,70772
1,40392	0,00784314	4,69047
1,41176	0,00784314	5,21441
1,41961	0,00784314	6,34545
1,42745	0,00784314	8,1129
1,43529	0,00784314	9,13015
1,44314	0,00784314	9,86999
1,45098	0,00784314	8,99509
1,45882	0,00784314	7,97783
1,46667	0,00784314	7,39346
1,47451	0,00784314	7,84149
1,48235	0,00784314	8,57834
1,4902	0,00784314	8,43747
1,49804	0,00784314	7,42021
1,50588	0,00784314	7,73245
1,51373	0,00784314	8,74971
1,52157	0,00784314	8,77027
1,52941	0,00784314	7,75302
1,53725	0,00784314	9,39236
1,5451	0,00784314	10,4096
1,55294	0,00784314	9,53701
1,56078	0,00784314	9,34116
1,56863	0,00784314	8,32391
1,57647	0,00784314	7,29791
1,58431	0,00784314	6,91837
1,59216	0,00784314	8,98105
1,6	0,00784314	9,99831
1,60784	0,00784314	10,2989
1,61569	0,00784314	10,159
1,62353	0,00784314	11,0476
1,63137	0,00784314	10,32
1,63922	0,00784314	9,3027
1,64706	0,00784314	8,04255
1,6549	0,00784314	11,0943
1,66275	0,00784314	13,8913
1,67059	0,00784314	15,1158
1,67843	0,00784314	16,133
1,68627	0,00784314	16,2454
1,69412	0,00784314	15,2281
1,70196	0,00784314	13,9146
1,7098	0,00784314	11,72
1,71765	0,00784314	8,66825
1,72549	0,00784314	8,06196
1,73333	0,00784314	7,04471
1,74118	0,00784314	5,73148
1,74902	0,00784314	6,09585
1,75686	0,00784314	7,11311
1,76471	0,00784314	7,85593
1,77255	0,00784314	8,45218
1,78039	0,00784314	7,43492
1,78824	0,00784314	7,98114
1,79608	0,00784314	7,84343
1,80392	0,00784314	10,3669
1,81176	0,00784314	13,165
1,81961	0,00784314	14,8908
1,82745	0,00784314	15,9081
1,83529	0,00784314	16,3525
1,84314	0,00784314	15,9705
1,85098	0,00784314	14,9532
1,85882	0,00784314	13,347
1,86667	0,00784314	11,0078
1,87451	0,00784314	7,98034
1,88235	0,00784314	7,27628
1,8902	0,00784314	7,2839
1,89804	0,00784314	8,30115
1,90588	0,00784314	7,87011
1,91373	0,00784314	6,85286
1,92157	0,00784314	7,02281
1,92941	0,00784314	9,37758
1,93725	0,00784314	10,3948
1,9451	0,00784314	10,1064
1,95294	0,00784314	9,08919
1,96078	0,00784314	9,24046
1,96863	0,00784314	9,09324
1,97647	0,00784314	8,07599
1,98431	0,00784314	8,37078
1,99216	0,00784314	9,25053
2	0,00784314	8,96706
0	0,0156863	11,009
0,00784314	0,0156863	11,0266
0,0156863	0,0156863	12,0439
0,0235294	0,0156863	12,929
0,0313725	0,0156863	11,9117
0,0392157	0,0156863	10,8902
0,0470588	0,0156863	8,99662
0,054902	0,0156863	7,25194
0,0627451	0,0156863	6,23468
0,0705882	0,0156863	4,92654
0,0784314	0,0156863	4,9668
0,0862745	0,0156863	7,01768
0,0941176	0,0156863	8,03493
0,101961	0,0156863	8,76425
0,109804	0,0156863	7,747
0,117647	0,0156863	6,71423
0,12549	0,0156863	6,84115
0,133333	0,0156863	6,81483
0,141176	0,0156863	6,52525
0,14902	0,0156863	5,50799
0,156863	0,0156863	5,07993
0,164706	0,0156863	6,11205
0,172549	0,0156863	7,32655
0,180392	0,0156863	11,0012
0,188235	0,0156863	14,6759
0,196078	0,0156863	17,7277
0,203922	0,0156863	19,0539
0,211765	0,0156863	20,0711
0,219608	0,0156863	20,5155
0,227451	0,0156863	19,639
0,235294	0,0156863	18,6218
0,243137	0,0156863	16,0828
0,25098	0,0156863	13,031
0,258824	0,0156863	10,2597
0,266667	0,0156863	11,2769
0,27451	0,0156863	12,1692
0,282353	0,0156863	11,4481
0,290196	0,0156863	10,4308
0,298039	0,0156863	7,94671
0,305882	0,0156863	6,76119
0,313725	0,0156863	7,50053
0,321569	0,0156863	6,66279
0,329412	0,0156863	5,64553
0,337255	0,0156863	4,56288
0,345098	0,0156863	3,99441
0,352941	0,0156863	3,99863
0,360784	0,0156863	4,00363
0,368627	0,0156863	3,86131
0,376471	0,0156863	4,76217
0,384314	0,0156863	5,77942
0,392157	0,0156863	8,33233
0,4	0,0156863	11,3841
0,407843	0,0156863	13,5912
0,415686	0,0156863	15,6517
0,423529	0,0156863	16,669
0,431373	0,0156863	17,2613
0,439216	0,0156863	17,1192
0,447059	0,0156863	16,1019
0,454902	0,0156863	14,6382
0,462745	0,0156863	11,5865
0,470588	0,0156863	8,62861
0,478431	0,0156863	5,57686
0,486275	0,0156863	4,56753
0,494118	0,0156863	4,23273
0,501961	0,0156863	4,49088
0,509804	0,0156863	4,99243
0,517647	0,0156863	7,05325
0,52549	0,0156863	8,23378
0,533333	0,0156863	9,25103
0,541176	0,0156863	9,19205
0,54902	0,0156863	10,2093
0,556863	0,0156863	10,3551
0,564706	0,0156863	9,33781
0,572549	0,0156863	7,57412
0,580392	0,0156863	7,96066
0,588235	0,0156863	8,40611
0,596078	0,0156863	7,38886
0,603922	0,0156863	5,77899
0,611765	0,0156863	5,78689
0,619608	0,0156863	8,12238
0,627451	0,0156863	10,9214
0,635294	0,0156863	13,867
0,643137	0,0156863	14,8843
0,65098	0,0156863	15,7753
0,658824	0,0156863	16,3722
0,666667	0,0156863	15,355
0,67451	0,0156863	13,6018
0,682353	0,0156863	10,5501
0,690196	0,0156863	7,75923
0,698039	0,0156863	8,77648
0,705882	0,0156863	8,1946
0,713725	0,0156863	7,41737
0,721569	0,0156863	9,03269
