DIAGNOSTICA FIT (2 LOGNORMALI, curve_fit con pesi Poisson)

chi2     = 1275.0830664344
ndof     = 94
chi2_red = 13.5647134727

PARAMETRI (ordine):
N, w, muL1, sigL1, muL2, sigL2

COVARIANZA (pcov):
	N	w	muL1	sigL1	muL2	sigL2
N	6.4335882083e+04	2.0143597272e-04	2.4553901669e-04	1.0747114038e-03	9.1929392257e-03	1.0106642171e-02
w	2.0143597272e-04	1.5900169389e-04	-2.5367197494e-05	1.5485524940e-05	-3.0931051661e-03	-9.6575417380e-04
muL1	2.4553901669e-04	-2.5367197494e-05	5.5536284920e-06	-2.6558882334e-06	4.8296793792e-04	1.4427324429e-04
sigL1	1.0747114038e-03	1.5485524940e-05	-2.6558882334e-06	2.2488103041e-06	-2.9325596086e-04	-8.7471873924e-05
muL2	9.1929392257e-03	-3.0931051661e-03	4.8296793792e-04	-2.9325596086e-04	6.0958199582e-02	1.9292246333e-02
sigL2	1.0106642171e-02	-9.6575417380e-04	1.4427324429e-04	-8.7471873924e-05	1.9292246333e-02	6.3937311756e-03

CORRELAZIONE:
	N	w	muL1	sigL1	muL2	sigL2
N	1.000000	0.000063	0.000411	0.002825	0.000147	0.000498
w	0.000063	1.000000	-0.853657	0.818934	-0.993523	-0.957830
muL1	0.000411	-0.853657	1.000000	-0.751528	0.830068	0.765632
sigL1	0.002825	0.818934	-0.751528	1.000000	-0.792053	-0.729482
muL2	0.000147	-0.993523	0.830068	-0.792053	1.000000	0.977214
sigL2	0.000498	-0.957830	0.765632	-0.729482	0.977214	1.000000
