# Z_nm	Fit_totale_conteggi	Gauss1_conteggi	Gauss2_conteggi
Distribuzione delle altezze tramite la convoluzione di due Gaussiane (Foto si vede meglio)

X		Y(Conv_Gauss)	Y(Gauss_1_blu)	Y(Gauss_2_verde)
0.000000	10.480147	7.095597	3.384550
0.017372	10.841170	7.376681	3.464489
0.034745	11.214055	7.667925	3.546130
0.052117	11.599158	7.969654	3.629504
0.069490	11.996846	8.282202	3.714644
0.086862	12.407494	8.605913	3.801581
0.104234	12.831488	8.941139	3.890349
0.121607	13.269223	9.288242	3.980981
0.138979	13.721103	9.647593	4.073510
0.156352	14.187543	10.019572	4.167971
0.173724	14.668969	10.404570	4.264399
0.191096	15.165817	10.802987	4.362829
0.208469	15.678532	11.215235	4.463297
0.225841	16.207572	11.641733	4.565838
0.243214	16.753404	12.082914	4.670491
0.260586	17.316510	12.539219	4.777291
0.277958	17.897378	13.011101	4.886277
0.295331	18.496512	13.499024	4.997487
0.312703	19.114425	14.003464	5.110961
0.330075	19.751643	14.524907	5.226736
0.347448	20.408704	15.063850	5.344854
0.364820	21.086158	15.620804	5.465354
0.382193	21.784568	16.196290	5.588277
0.399565	22.504508	16.790843	5.713666
0.416937	23.246567	17.405007	5.841561
0.434310	24.011346	18.039341	5.972005
0.451682	24.799458	18.694416	6.105043
0.469055	25.611531	19.370815	6.240716
0.486427	26.448205	20.069135	6.379070
0.503799	27.310135	20.789986	6.520149
0.521172	28.197987	21.533990	6.663998
0.538544	29.112445	22.301782	6.810663
0.555917	30.054204	23.094013	6.960191
0.573289	31.023974	23.911345	7.112629
0.590661	32.022479	24.754455	7.268024
0.608034	33.050458	25.624034	7.426424
0.625406	34.108665	26.520787	7.587879
0.642779	35.197868	27.445432	7.752436
0.660151	36.318850	28.398703	7.920147
0.677523	37.472408	29.381347	8.091061
0.694896	38.659357	30.394127	8.265230
0.712268	39.880523	31.437819	8.442705
0.729641	41.136752	32.513214	8.623538
0.747013	42.428902	33.621120	8.807782
0.764385	43.757847	34.762356	8.995491
0.781758	45.124478	35.937760	9.186718
0.799130	46.529700	37.148183	9.381518
0.816503	47.974436	38.394490	9.579945
0.833875	49.459621	39.677565	9.782057
0.851247	50.986210	40.998302	9.987908
0.868620	52.555172	42.357616	10.197556
0.885992	54.167491	43.756433	10.411058
0.903364	55.824168	45.195696	10.628472
0.920737	57.526221	46.676363	10.849858
0.938109	59.274682	48.199408	11.075273
0.955482	61.070600	49.765821	11.304779
0.972854	62.915040	51.376606	11.538434
0.990226	64.809083	53.032782	11.776302
1.007599	66.753827	54.735385	12.018442
1.024971	68.750382	56.485465	12.264917
1.042344	70.799879	58.284088	12.515791
1.059716	72.903461	60.132336	12.771126
1.077088	75.062289	62.031303	13.030986
1.094461	77.277538	63.982102	13.295436
1.111833	79.550399	65.985859	13.564540
1.129206	81.882079	68.043713	13.838366
1.146578	84.273799	70.156821	14.116978
1.163950	86.726798	72.326354	14.400444
1.181323	89.242325	74.553494	14.688831
1.198695	91.821649	76.839442	14.982207
1.216068	94.466051	79.185410	15.280641
1.233440	97.176826	81.592624	15.584202
1.250812	99.955284	84.062325	15.892959
1.268185	102.802750	86.595767	16.206983
1.285557	105.720561	89.194217	16.526344
1.302930	108.710068	91.858954	16.851114
1.320302	111.772636	94.591271	17.181365
1.337674	114.909642	97.392473	17.517168
1.355047	118.122475	100.263877	17.858598
1.372419	121.412538	103.206811	18.205727
1.389791	124.781246	106.222616	18.558630
1.407164	128.230023	109.312642	18.917381
1.424536	131.760306	112.478251	19.282055
1.441909	135.373543	115.720816	19.652727
1.459281	139.071192	119.041718	20.029474
1.476653	142.854721	122.442349	20.412372
1.494026	146.725607	125.924108	20.801499
1.511398	150.685336	129.488405	21.196931
1.528771	154.735404	133.136657	21.598747
1.546143	158.877312	136.870287	22.007025
1.563515	163.112572	140.690728	22.421843
1.580888	167.442700	144.599417	22.843283
1.598260	171.869220	148.597798	23.271422
1.615633	176.393662	152.687320	23.706342
1.633005	181.017560	156.869437	24.148123
1.650377	185.742452	161.145606	24.596846
1.667750	190.569882	165.517290	25.052592
1.685122	195.501396	169.985952	25.515444
1.702495	200.538542	174.553059	25.985483
1.719867	205.682871	179.220078	26.462793
1.737239	210.935934	183.988478	26.947456
1.754612	216.299283	188.859727	27.439556
1.771984	221.774469	193.835293	27.939176
1.789357	227.363043	198.916642	28.446401
1.806729	233.066552	204.105238	28.961314
1.824101	238.886542	209.402542	29.484000
1.841474	244.824554	214.810009	30.014545
1.858846	250.882125	220.329092	30.553033
1.876219	257.060787	225.961236	31.099551
1.893591	263.362064	231.707881	31.654183
1.910963	269.787475	237.570459	32.217015
1.928336	276.338528	243.550393	32.788135
1.945708	283.016725	249.649097	33.367628
1.963080	289.823555	255.867974	33.955581
1.980453	296.760497	262.208416	34.552081
1.997825	303.829019	268.671804	35.157215
2.015198	311.030573	275.259503	35.771070
2.032570	318.366599	281.972866	36.393733
2.049942	325.838521	288.813230	37.025292
2.067315	333.447747	295.781913	37.665834
2.084687	341.195665	302.880219	38.315446
2.102060	349.083649	310.109431	38.974218
2.119432	357.113049	317.470814	39.642235
2.136804	365.285196	324.965609	40.319587
2.154177	373.601398	332.595038	41.006360
2.171549	382.062942	340.360298	41.702643
2.188922	390.671087	348.262564	42.408523
2.206294	399.427070	356.302981	43.124089
2.223666	408.332099	364.482672	43.849427
2.241039	417.387355	372.802729	44.584626
2.258411	426.593989	381.264217	45.329772
2.275784	435.953122	389.868167	46.084954
2.293156	445.465843	398.615584	46.850259
2.310528	455.133208	407.507435	47.625773
2.327901	464.956240	416.544655	48.411584
2.345273	474.935924	425.728146	49.207779
2.362646	485.073212	435.058768	50.014443
2.380018	495.369013	444.537350	50.831664
2.397390	505.824202	454.164676	51.659527
2.414763	516.439610	463.941493	52.498118
2.432135	527.216027	473.868505	53.347522
2.449508	538.154200	483.946375	54.207825
2.466880	549.254831	494.175721	55.079111
2.484252	560.518578	504.557114	55.961464
2.501625	571.946050	515.091081	56.854970
2.518997	583.537810	525.778100	57.759710
2.536369	595.294369	536.618600	58.675768
2.553742	607.216188	547.612960	59.603228
2.571114	619.303678	558.761508	60.542170
2.588487	631.557194	570.064517	61.492677
2.605859	643.977038	581.522209	62.454829
2.623231	656.563456	593.134749	63.428707
2.640604	669.316638	604.902247	64.414391
2.657976	682.236713	616.824753	65.411960
2.675349	695.323753	628.902260	66.421492
2.692721	708.577769	641.134703	67.443066
2.710093	721.998711	653.521952	68.476759
2.727466	735.586465	666.063818	69.522646
2.744838	749.340852	678.760048	70.580805
