FIT CON SOMMA DI DUE GAUSSIANE

Parametri (ordine):
N, w, mu1, sigma1, mu2, sigma2

MATRICE DI COVARIANZA:
	N	w	mu1	sigma1	mu2	sigma2
N	6.5468781687e+04	-3.9487046379e-02	-1.2359438068e-01	-7.2879497828e-02	-1.9462152210e-01	-1.0089481603e-02
w	-3.9487046379e-02	1.0302841047e-04	9.8804297150e-05	1.5311268745e-04	6.5275755743e-04	-1.1636779200e-04
mu1	-1.2359438068e-01	9.8804297150e-05	3.3853967276e-04	1.8617058504e-04	4.5888762460e-04	5.8831510934e-05
sigma1	-7.2879497828e-02	1.5311268745e-04	1.8617058504e-04	3.3538582355e-04	9.6173921867e-04	-1.6684791706e-04
mu2	-1.9462152210e-01	6.5275755743e-04	4.5888762460e-04	9.6173921867e-04	4.9319278216e-03	-9.9904797952e-04
sigma2	-1.0089481603e-02	-1.1636779200e-04	5.8831510934e-05	-1.6684791706e-04	-9.9904797952e-04	5.5556988903e-04

MATRICE DI CORRELAZIONE:
	N	w	mu1	sigma1	mu2	sigma2
N	1.000000	-0.015204	-0.026253	-0.015553	-0.010831	-0.001673
w	-0.015204	1.000000	0.529045	0.823683	0.915725	-0.486390
mu1	-0.026253	0.529045	1.000000	0.552502	0.355135	0.135655
sigma1	-0.015553	0.823683	0.552502	1.000000	0.747785	-0.386526
mu2	-0.010831	0.915725	0.355135	0.747785	1.000000	-0.603544
sigma2	-0.001673	-0.486390	0.135655	-0.386526	-0.603544	1.000000
