DIAGNOSTICA FIT (2 LOGNORMALI, curve_fit con pesi Poisson)

chi2     = 180.9987398670
ndof     = 94
chi2_red = 1.9255185092

PARAMETRI (ordine):
N, w, muL1, sigL1, muL2, sigL2

COVARIANZA (pcov):
	N	w	muL1	sigL1	muL2	sigL2
N	5.0482799015e+04	-1.8373017657e-01	1.2546732762e-02	-1.8189318339e-02	1.3382061579e+00	4.1513781435e-01
w	-1.8373017657e-01	8.5840517537e-04	-6.3561936147e-05	9.5103432703e-05	-6.1111644556e-03	-1.8159769577e-03
muL1	1.2546732762e-02	-6.3561936147e-05	8.1039924690e-06	-7.6702020971e-06	4.3375961658e-04	1.1751728523e-04
sigL1	-1.8189318339e-02	9.5103432703e-05	-7.6702020971e-06	1.2009532721e-05	-6.6888612478e-04	-1.9483484530e-04
muL2	1.3382061579e+00	-6.1111644556e-03	4.3375961658e-04	-6.6888612478e-04	4.3921827027e-02	1.3191308090e-02
sigL2	4.1513781435e-01	-1.8159769577e-03	1.1751728523e-04	-1.9483484530e-04	1.3191308090e-02	4.1218256938e-03

CORRELAZIONE:
	N	w	muL1	sigL1	muL2	sigL2
N	1.000000	-0.027910	0.019616	-0.023360	0.028419	0.028779
w	-0.027910	1.000000	-0.762082	0.936671	-0.995262	-0.965427
muL1	0.019616	-0.762082	1.000000	-0.777489	0.727042	0.642995
sigL1	-0.023360	0.936671	-0.777489	1.000000	-0.920977	-0.875707
muL2	0.028419	-0.995262	0.727042	-0.920977	1.000000	0.980399
sigL2	0.028779	-0.965427	0.642995	-0.875707	0.980399	1.000000
