# Z_nm	Fit_totale_conteggi	Gauss1_conteggi	Gauss2_conteggi
0.000000	4.271492	1.787685	2.483806
0.014018	4.388377	1.853468	2.534910
0.028035	4.508469	1.921497	2.586972
0.042053	4.631852	1.991843	2.640009
0.056071	4.758615	2.064579	2.694037
0.070088	4.888849	2.139777	2.749072
0.084106	5.022644	2.217513	2.805131
0.098124	5.160097	2.297866	2.862231
0.112141	5.301304	2.380915	2.920389
0.126159	5.446365	2.466743	2.979622
0.140177	5.595382	2.555434	3.039948
0.154194	5.748459	2.647075	3.101384
0.168212	5.905703	2.741755	3.163948
0.182230	6.067223	2.839564	3.227659
0.196248	6.233132	2.940597	3.292535
0.210265	6.403545	3.044949	3.358595
0.224283	6.578578	3.152720	3.425858
0.238301	6.758353	3.264010	3.494343
0.252318	6.942993	3.378923	3.564070
0.266336	7.132624	3.497566	3.635058
0.280354	7.327375	3.620048	3.707327
0.294371	7.527378	3.746481	3.780898
0.308389	7.732769	3.876979	3.855790
0.322407	7.943685	4.011659	3.932026
0.336424	8.160269	4.150644	4.009625
0.350442	8.382666	4.294056	4.088610
0.364460	8.611022	4.442021	4.169001
0.378477	8.845491	4.594670	4.250821
0.392495	9.086227	4.752135	4.334092
0.406513	9.333388	4.914553	4.418836
0.420530	9.587138	5.082062	4.505076
0.434548	9.847640	5.254806	4.592834
0.448566	10.115066	5.432931	4.682134
0.462583	10.389587	5.616587	4.773001
0.476601	10.671382	5.805926	4.865456
0.490619	10.960631	6.001106	4.959525
0.504637	11.257518	6.202286	5.055232
0.518654	11.562233	6.409632	5.152601
0.532672	11.874970	6.623312	5.251658
0.546690	12.195924	6.843496	5.352428
0.560707	12.525297	7.070361	5.454936
0.574725	12.863296	7.304087	5.559209
0.588743	13.210129	7.544857	5.665272
0.602760	13.566012	7.792860	5.773152
0.616778	13.931164	8.048288	5.882876
0.630796	14.305808	8.311337	5.994471
0.644813	14.690172	8.582208	6.107964
0.658831	15.084490	8.861106	6.223384
0.672849	15.488999	9.148241	6.340758
0.686866	15.903941	9.443827	6.460114
0.700884	16.329564	9.748083	6.581482
0.714902	16.766121	10.061232	6.704890
0.728919	17.213869	10.383502	6.830367
0.742937	17.673070	10.715127	6.957944
0.756955	18.143994	11.056344	7.087650
0.770972	18.626912	11.407396	7.219516
0.784990	19.122103	11.768531	7.353572
0.799008	19.629851	12.140002	7.489849
0.813026	20.150446	12.522067	7.628380
0.827043	20.684183	12.914989	7.769194
0.841061	21.231361	13.319037	7.912324
0.855079	21.792288	13.734484	8.057804
0.869096	22.367275	14.161611	8.205664
0.883114	22.956640	14.600701	8.355939
0.897132	23.560707	15.052046	8.508662
0.911149	24.179806	15.515941	8.663865
0.925167	24.814272	15.992688	8.821585
0.939185	25.464448	16.482594	8.981854
0.953202	26.130680	16.985973	9.144708
0.967220	26.813324	17.503143	9.310181
0.981238	27.512740	18.034430	9.478310
0.995255	28.229294	18.580165	9.649130
1.009273	28.963361	19.140684	9.822677
1.023291	29.715319	19.716332	9.998987
1.037308	30.485555	20.307457	10.178098
1.051326	31.274462	20.914415	10.360047
1.065344	32.082439	21.537568	10.544871
1.079361	32.909893	22.177284	10.732609
1.093379	33.757236	22.833938	10.923298
1.107397	34.624889	23.507911	11.116978
1.121415	35.513277	24.199591	11.313686
1.135432	36.422835	24.909371	11.513464
1.149450	37.354003	25.637653	11.716350
1.163468	38.307229	26.384844	11.922385
1.177485	39.282967	27.151357	12.131610
1.191503	40.281679	27.937615	12.344064
1.205521	41.303833	28.744044	12.559789
1.219538	42.349906	29.571078	12.778828
1.233556	43.420381	30.419160	13.001221
1.247574	44.515749	31.288738	13.227011
1.261591	45.636507	32.180266	13.456242
1.275609	46.783161	33.094206	13.688955
1.289627	47.956222	34.031028	13.925195
1.303644	49.156212	34.991207	14.165005
1.317662	50.383656	35.975227	14.408429
1.331680	51.639090	36.983578	14.655512
1.345697	52.923056	38.016757	14.906299
1.359715	54.236103	39.075268	15.160836
1.373733	55.578789	40.159623	15.419167
1.387750	56.951678	41.270340	15.681339
1.401768	58.355342	42.407944	15.947398
1.415786	59.790361	43.572970	16.217391
1.429804	61.257321	44.765956	16.491365
1.443821	62.756817	45.987449	16.769368
1.457839	64.289451	47.238004	17.051447
1.471857	65.855833	48.518182	17.337651
1.485874	67.456579	49.828551	17.628028
1.499892	69.092314	51.169687	17.922627
1.513910	70.763670	52.542172	18.221498
1.527927	72.471285	53.946595	18.524690
1.541945	74.215807	55.383554	18.832253
1.555963	75.997889	56.853651	19.144238
1.569980	77.818192	58.357497	19.460695
1.583998	79.677385	59.895710	19.781675
1.598016	81.576144	61.468913	20.107231
1.612033	83.515151	63.077739	20.437413
1.626051	85.495097	64.722823	20.772274
1.640069	87.516678	66.404812	21.111866
1.654086	89.580599	68.124356	21.456242
1.668104	91.687570	69.882113	21.805456
1.682122	93.838309	71.678748	22.159561
1.696139	96.033541	73.514930	22.518610
1.710157	98.273997	75.391338	22.882659
1.724175	100.560415	77.308653	23.251761
1.738192	102.893539	79.267567	23.625972
1.752210	105.274120	81.268773	24.005347
1.766228	107.702916	83.312975	24.389941
1.780246	110.180689	85.400879	24.779810
1.794263	112.708210	87.533199	25.175010
1.808281	115.286252	89.710654	25.575599
1.822299	117.915599	91.933967	25.981632
1.836316	120.597036	94.203869	26.393167
1.850334	123.331356	96.521094	26.810261
1.864352	126.119357	98.886384	27.232973
1.878369	128.961843	101.300483	27.661360
1.892387	131.859621	103.764141	28.095481
1.906405	134.813506	106.278112	28.535393
1.920422	137.824315	108.843157	28.981158
1.934440	140.892871	111.460039	29.432832
1.948458	144.020002	114.129524	29.890477
1.962475	147.206539	116.852386	30.354152
1.976493	150.453317	119.629400	30.823917
1.990511	153.761177	122.461344	31.299832
2.004528	157.130961	125.349002	31.781959
2.018546	160.563517	128.293159	32.270357
2.032564	164.059693	131.294604	32.765089
2.046581	167.620344	134.354129	33.266215
2.060599	171.246324	137.472527	33.773798
2.074617	174.938493	140.650595	34.287898
2.088635	178.697711	143.889132	34.808580
2.102652	182.524841	147.188937	35.335903
2.116670	186.420747	150.550814	35.869933
2.130688	190.386295	153.975565	36.410730
2.144705	194.422353	157.463994	36.958359
2.158723	198.529790	161.016908	37.512882
2.172741	202.709474	164.635111	38.074363
2.186758	206.962275	168.319409	38.642866
2.200776	211.289064	172.070609	39.218455
2.214794	215.690709	175.889516	39.801193
2.228811	220.168080	179.776935	40.391145
2.242829	224.722045	183.733670	40.988375
2.256847	229.353472	187.760524	41.592948
2.270864	234.063226	191.858297	42.204928
2.284882	238.852171	196.027790	42.824382
2.298900	243.721171	200.269799	43.451372
2.312917	248.671083	204.585118	44.085965
2.326935	253.702766	208.974540	44.728226
2.340953	258.817072	213.438851	45.378221
2.354970	264.014852	217.978838	46.036014
2.368988	269.296951	222.595279	46.701672
2.383006	274.664213	227.288953	47.375260
2.397024	280.117474	232.060629	48.056845
2.411041	285.657566	236.911075	48.746491
2.425059	291.285316	241.841050	49.444266
2.439077	297.001545	246.851311	50.150234
2.453094	302.807068	251.942605	50.864463
2.467112	308.702693	257.115674	51.587019
2.481130	314.689220	262.371253	52.317967
2.495147	320.767444	267.710070	53.057374
2.509165	326.938149	273.132843	53.805306
2.523183	333.202113	278.640283	54.561830
2.537200	339.560103	284.233092	55.327011
2.551218	346.012880	289.911963	56.100917
2.565236	352.561192	295.677579	56.883613
2.579253	359.205779	301.530613	57.675165
2.593271	365.947368	307.471728	58.475641
2.607289	372.786679	313.501574	59.285105
2.621306	379.724416	319.620791	60.103625
2.635324	386.761273	325.830008	60.931265
2.649342	393.897933	332.129840	61.768093
2.663359	401.135063	338.520890	62.614174
2.677377	408.473319	345.003746	63.469573
2.691395	415.913342	351.578985	64.334358
2.705413	423.455759	358.247167	65.208592
2.719430	431.101181	365.008839	66.092342
2.733448	438.850205	371.864532	66.985672
2.747466	446.703411	378.814762	67.888649
2.761483	454.661365	385.860028	68.801337
2.775501	462.724613	393.000813	69.723800
2.789519	470.893685	400.237581	70.656104
2.803536	479.169094	407.570781	71.598313
2.817554	487.551334	415.000843	72.550491
2.831572	496.040879	422.528177	73.512702
2.845589	504.638184	430.153174	74.485010
2.859607	513.343686	437.876208	75.467478
2.873625	522.157801	445.697630	76.460170
2.887642	531.080922	453.617773	77.463149
2.901660	540.113422	461.636945	78.476477
2.915678	549.255653	469.755436	79.500217
2.929695	558.507944	477.973513	80.534430
2.943713	567.870600	486.291421	81.579180
2.957731	577.343905	494.709379	82.634526
2.971748	586.928117	503.227586	83.700531
2.985766	596.623470	511.846216	84.777254
2.999784	606.430174	520.565417	85.864757
3.013802	616.348414	529.385314	86.963099
3.027819	626.378347	538.306006	88.072340
3.041837	636.520105	547.327566	89.192539
3.055855	646.773795	556.450040	90.323755
3.069872	657.139494	565.673448	91.466046
3.083890	667.617252	574.997783	92.619469
3.097908	678.207092	584.423009	93.784083
3.111925	688.909007	593.949064	94.959943
3.125943	699.722963	603.575855	96.147107
3.139961	710.648892	613.303262	97.345631
3.153978	721.686702	623.131133	98.555568
3.167996	732.836265	633.059290	99.776976
3.182014	744.097427	643.087521	101.009906
3.196031	755.469999	653.215585	102.254414
3.210049	766.953762	663.443210	103.510552
3.224067	778.548466	673.770093	104.778373
3.238084	790.253825	684.195897	106.057928
3.252102	802.069524	694.720255	107.349269
3.266120	813.995213	705.342767	108.652446
3.280137	826.030508	716.062998	109.967509
3.294155	838.174992	726.880484	111.294508
3.308173	850.428212	737.794722	112.633490
3.322190	862.789684	748.805179	113.984505
3.336208	875.258885	759.911287	115.347598
3.350226	887.835258	771.112442	116.722816
3.364244	900.518211	782.408007	118.110204
3.378261	913.307116	793.797308	119.509808
3.392279	926.201309	805.279637	120.921672
3.406297	939.200088	816.854249	122.345838
3.420314	952.302715	828.520366	123.782350
3.434332	965.508417	840.277169	125.231248
3.448350	978.816380	852.123807	126.692574
3.462367	992.225757	864.059390	128.166367
3.476385	1005.735658	876.082993	129.652666
3.490403	1019.345161	888.193652	131.151510
3.504420	1033.053301	900.390367	132.662935
3.518438	1046.859079	912.672101	134.186977
3.532456	1060.761453	925.037780	135.723673
3.546473	1074.759347	937.486290	137.273056
3.560491	1088.851643	950.016483	138.835160
3.574509	1103.037188	962.627170	140.410017
3.588526	1117.314786	975.317127	141.997659
3.602544	1131.683204	988.085089	143.598115
3.616562	1146.141172	1000.929757	145.211415
3.630579	1160.687378	1013.849790	146.837588
3.644597	1175.320472	1026.843813	148.476660
3.658615	1190.039066	1039.910409	150.128657
3.672633	1204.841732	1053.048128	151.793605
3.686650	1219.727004	1066.255477	153.471527
3.700668	1234.693376	1079.530930	155.162446
3.714686	1249.739304	1092.872920	156.866384
3.728703	1264.863204	1106.279843	158.583361
3.742721	1280.063455	1119.750059	160.313396
3.756739	1295.338397	1133.281890	162.056507
3.770756	1310.686331	1146.873620	163.812711
3.784774	1326.105521	1160.523497	165.582023
3.798792	1341.594191	1174.229732	167.364459
3.812809	1357.150529	1187.990499	169.160030
3.826827	1372.772685	1201.803935	170.968749
3.840845	1388.458770	1215.668144	172.790626
3.854862	1404.206861	1229.581190	174.625671
3.868880	1420.014995	1243.541105	176.473890
3.882898	1435.881175	1257.545883	178.335292
3.896915	1451.803365	1271.593485	180.209880
3.910933	1467.779495	1285.681836	182.097659
3.924951	1483.807460	1299.808829	183.998631
3.938968	1499.885118	1313.972322	185.912797
3.952986	1516.010294	1328.170137	187.840156
3.967004	1532.180776	1342.400068	189.780708
3.981022	1548.394321	1356.659873	191.734448
3.995039	1564.648651	1370.947279	193.701372
4.009057	1580.941455	1385.259981	195.681474
4.023075	1597.270390	1399.595644	197.674746
4.037092	1613.633080	1413.951902	199.681178
4.051110	1630.027118	1428.326357	201.700761
4.065128	1646.450066	1442.716585	203.733481
4.079145	1662.899457	1457.120131	205.779326
4.093163	1679.372792	1471.534513	207.838279
4.107181	1695.867544	1485.957220	209.910324
4.121198	1712.381157	1500.385714	211.995443
4.135216	1728.911047	1514.817432	214.093616
4.149234	1745.454604	1529.249785	216.204820
