FIT CON SOMMA DI DUE GAUSSIANE

Parametri (ordine):
N, w, mu1, sigma1, mu2, sigma2

MATRICE DI COVARIANZA:
	N	w	mu1	sigma1	mu2	sigma2
N	5.0383535365e+04	-4.5612033416e-02	-1.4878503494e-02	-3.3841892139e-02	-2.8739814769e-01	8.7990153589e-02
w	-4.5612033416e-02	5.0509206319e-04	2.8326538971e-04	4.0544392886e-04	2.9192202908e-03	-6.6962812231e-04
mu1	-1.4878503494e-02	2.8326538971e-04	3.6908073115e-04	2.6796351722e-04	1.3952815829e-03	-1.3365818192e-04
sigma1	-3.3841892139e-02	4.0544392886e-04	2.6796351722e-04	3.9326134762e-04	2.2968042816e-03	-5.0925408563e-04
mu2	-2.8739814769e-01	2.9192202908e-03	1.3952815829e-03	2.2968042816e-03	1.7802652627e-02	-4.3347239727e-03
sigma2	8.7990153589e-02	-6.6962812231e-04	-1.3365818192e-04	-5.0925408563e-04	-4.3347239727e-03	1.5337545941e-03

MATRICE DI CORRELAZIONE:
	N	w	mu1	sigma1	mu2	sigma2
N	1.000000	-0.009042	-0.003450	-0.007603	-0.009596	0.010009
w	-0.009042	1.000000	0.656066	0.909714	0.973507	-0.760800
mu1	-0.003450	0.656066	1.000000	0.703355	0.544326	-0.177647
sigma1	-0.007603	0.909714	0.703355	1.000000	0.868043	-0.655716
mu2	-0.009596	0.973507	0.544326	0.868043	1.000000	-0.829547
sigma2	0.010009	-0.760800	-0.177647	-0.655716	-0.829547	1.000000
