# Z_nm	Fit_totale_conteggi	LogN1_conteggi	LogN2_conteggi
0.658039	0.000000	0.000000	0.000000
0.693080	0.000000	0.000000	0.000000
0.728121	0.000000	0.000000	0.000000
0.763162	0.000000	0.000000	0.000000
0.798203	0.000000	0.000000	0.000000
0.833244	0.000000	0.000000	0.000000
0.868286	0.000001	0.000000	0.000001
0.903327	0.000001	0.000000	0.000001
0.938368	0.000002	0.000000	0.000002
0.973409	0.000003	0.000000	0.000003
1.008450	0.000006	0.000000	0.000006
1.043491	0.000010	0.000000	0.000010
1.078532	0.000017	0.000000	0.000017
1.113573	0.000027	0.000000	0.000027
1.148614	0.000042	0.000000	0.000042
1.183655	0.000065	0.000000	0.000065
1.218696	0.000098	0.000000	0.000098
1.253737	0.000146	0.000000	0.000146
1.288779	0.000214	0.000000	0.000214
1.323820	0.000308	0.000000	0.000308
1.358861	0.000439	0.000000	0.000439
1.393902	0.000617	0.000000	0.000617
1.428943	0.000857	0.000000	0.000857
1.463984	0.001175	0.000000	0.001175
1.499025	0.001594	0.000000	0.001594
1.534066	0.002141	0.000000	0.002141
1.569107	0.002846	0.000000	0.002846
1.604148	0.003748	0.000000	0.003748
1.639189	0.004891	0.000000	0.004891
1.674230	0.006330	0.000000	0.006330
1.709272	0.008126	0.000000	0.008126
1.744313	0.010352	0.000000	0.010352
1.779354	0.013091	0.000000	0.013091
1.814395	0.016439	0.000000	0.016439
1.849436	0.020506	0.000000	0.020506
1.884477	0.025415	0.000000	0.025415
1.919518	0.031308	0.000000	0.031308
1.954559	0.038341	0.000000	0.038341
1.989600	0.046691	0.000000	0.046691
2.024641	0.056555	0.000000	0.056555
2.059682	0.068149	0.000000	0.068149
2.094723	0.081713	0.000000	0.081713
2.129765	0.097511	0.000000	0.097511
2.164806	0.115832	0.000000	0.115832
2.199847	0.136989	0.000000	0.136989
2.234888	0.161324	0.000000	0.161324
2.269929	0.189207	0.000000	0.189207
2.304970	0.221038	0.000000	0.221038
2.340011	0.257244	0.000000	0.257244
2.375052	0.298287	0.000000	0.298287
2.410093	0.344656	0.000000	0.344656
2.445134	0.396878	0.000000	0.396878
2.480175	0.455506	0.000000	0.455506
2.515217	0.521133	0.000000	0.521133
2.550258	0.594379	0.000000	0.594379
2.585299	0.675902	0.000000	0.675902
