   255.408478     (  0.213697553     ,   2.68930697     )
   256.153809     (  0.233468324     ,   2.78284621     )
   256.899139     (  0.253239095     ,   2.87638545     )
   257.644470     (  0.243703932     ,   2.80072784     )
   258.389832     (  0.229755327     ,   2.69958949     )
   259.135162     (  0.198073968     ,   2.81285000     )
   259.880493     (  0.160099238     ,   3.00220084     )
   260.625824     (  0.171966210     ,   3.04422021     )
   261.371155     (  0.216129482     ,   2.99077177     )
   262.116486     (  0.253373772     ,   2.97503352     )
   262.861847     (  0.282982528     ,   3.00091124     )
   263.607178     (  0.304112792     ,   3.01693296     )
   264.352509     (  0.309063256     ,   3.01414609     )
   265.097839     (  0.310633868     ,   3.02583098     )
   265.843170     (  0.299648553     ,   3.09127712     )
   266.588501     (  0.292583972     ,   3.14510942     )
   267.333832     (  0.330497682     ,   3.06570840     )
   268.079193     (  0.368411392     ,   2.98630738     )
   268.824524     (  0.284629256     ,   3.12868905     )
   269.569855     (  0.194191650     ,   3.28319979     )
   270.315186     (  0.268853515     ,   3.25563359     )
   271.060516     (  0.380746603     ,   3.18700767     )
   271.805847     (  0.429538697     ,   3.16865897     )
   272.551178     (  0.449128419     ,   3.17357802     )
   273.296539     (  0.468960494     ,   3.19856548     )
   274.041870     (  0.488989860     ,   3.23989153     )
   274.787201     (  0.490192682     ,   3.26296306     )
   275.532532     (  0.465248704     ,   3.26068234     )
   276.277863     (  0.468888551     ,   3.24808478     )
   277.023193     (  0.543928266     ,   3.20971680     )
   277.768555     (  0.603818357     ,   3.19222403     )
   278.513885     (  0.579860926     ,   3.29026747     )
   279.259216     (  0.557342708     ,   3.38532281     )
   280.004547     (  0.605148137     ,   3.33437872     )
   280.749878     (  0.652953506     ,   3.28343487     )
   281.495209     (  0.703809977     ,   3.22651172     )
   282.240540     (  0.755055070     ,   3.16882682     )
   282.985901     (  0.765266120     ,   3.17965746     )
   283.731232     (  0.762073100     ,   3.21286941     )
   284.476562     (  0.799858034     ,   3.18064332     )
   285.221893     (  0.862708211     ,   3.10839057     )
   285.967224     (  0.900745809     ,   3.09472823     )
   286.712555     (  0.912655115     ,   3.14276338     )
   287.457886     (  0.925549984     ,   3.16893101     )
   288.203247     (  0.940247178     ,   3.15511250     )
   288.948578     (  0.962634623     ,   3.13861775     )
   289.693909     (   1.01229608     ,   3.11263156     )
